DATE,CPI_all_items,Rent_of_Primary_residence,Monthly_Housing_Cost,CPI_Energy,US_Dollar_Purchasing_power
2001-11-01,177.5,219.600,177.400,175.800,56.4
2001-12-01,177.4,220.100,177.900,176.000,56.6
2002-01-01,177.7,220.600,177.900,176.400,56.5
2002-02-01,178.0,221.200,178.700,177.000,56.2
2002-03-01,178.5,221.100,179.800,177.100,55.9
2002-04-01,179.3,221.400,180.900,177.200,55.6
2002-05-01,179.5,222.200,181.400,177.600,55.6
2002-06-01,179.6,222.500,182.100,178.200,55.6
2002-07-01,180.0,221.900,181.200,178.500,55.5
2002-08-01,180.5,221.600,181.600,178.800,55.4
2002-09-01,180.8,222.400,182.100,179.200,55.3
2002-10-01,181.2,224.400,182.800,179.600,55.2
2002-11-01,181.5,225.200,183.200,179.800,55.2
2002-12-01,181.8,225.400,182.400,180.100,55.3
2003-01-01,182.600,226.100,182.700,179.900,55.0
2003-02-01,183.600,226.900,184.100,180.700,54.6
2003-03-01,183.900,227.600,184.800,181.000,54.3
2003-04-01,183.200,229.400,183.400,181.100,54.4
2003-05-01,182.900,229.100,183.400,181.500,54.5
2003-06-01,183.100,230.200,184.100,181.900,54.4
2003-07-01,183.700,231.300,184.100,182.300,54.4
2003-08-01,184.5,232.000,184.500,182.600,54.2
2003-09-01,185.100,232.300,186.100,182.800,54.0
2003-10-01,184.9,231.900,185.800,183.300,54.0
2003-11-01,185.000,232.500,185.600,183.800,54.2
2003-12-01,185.500,233.200,185.500,184.300,54.3
2004-01-01,186.300,232.800,185.400,184.900,54.0
2004-02-01,186.700,233.100,186.400,185.500,53.7
2004-03-01,187.100,232.800,186.300,185.800,53.4
2004-04-01,187.400,232.800,187.200,186.200,53.2
2004-05-01,188.200,233.200,188.700,186.700,52.9
2004-06-01,188.900,234.800,189.100,187.000,52.7
2004-07-01,189.100,234.900,189.200,187.800,52.8
2004-08-01,189.200,235.200,190.200,188.400,52.8
2004-09-01,189.800,237.100,190.000,188.900,52.7
2004-10-01,190.8,237.800,190.800,189.400,52.4
2004-11-01,191.700,237.700,190.700,189.600,52.4
2004-12-01,191.700,238.600,189.600,189.900,52.5
2005-01-01,191.600,239.900,189.900,190.800,52.4
2005-02-01,192.400,240.600,190.500,191.400,52.1
2005-03-01,193.100,240.400,191.300,191.700,51.7
2005-04-01,193.700,240.800,193.200,192.100,51.4
2005-05-01,193.600,242.000,193.300,192.600,51.4
2005-06-01,193.700,242.000,194.000,193.200,51.4
2005-07-01,194.900,241.700,194.200,193.600,51.2
2005-08-01,196.100,241.800,195.800,194.200,50.9
2005-09-01,198.800,242.100,198.300,194.600,50.3
2005-10-01,199.100,242.400,197.900,195.200,50.2
2005-11-01,198.100,245.100,197.300,195.600,50.6
2005-12-01,198.100,245.200,196.400,196.000,50.8
2006-01-01,199.300,245.200,197.500,196.600,50.4
2006-02-01,199.400,243.900,197.200,197.200,50.3
2006-03-01,199.700,244.200,197.600,197.600,50.0
2006-04-01,200.700,245.000,197.700,198.000,49.6
2006-05-01,201.300,245.100,198.400,198.700,49.4
2006-06-01,201.800,246.200,199.000,199.200,49.3
2006-07-01,202.900,246.800,199.300,199.700,49.1
2006-08-01,203.800,247.500,200.400,200.200,49.0
2006-09-01,202.800,248.000,199.600,200.500,49.3
2006-10-01,201.900,249.300,197.500,201.100,49.5
2006-11-01,202.000,249.700,197.900,201.600,49.6
2006-12-01,203.100,252.500,197.800,202.200,49.6
2007-01-01,203.437,253.144,199.401,203.171,49.4
2007-02-01,204.226,254.400,200.630,203.909,49.1
2007-03-01,205.288,255.087,202.483,204.082,48.7
2007-04-01,205.904,255.810,204.019,204.725,48.4
2007-05-01,206.755,255.889,205.686,205.233,48.1
2007-06-01,207.234,254.560,206.092,205.934,48.0
2007-07-01,207.603,255.597,205.561,206.931,48.0
2007-08-01,207.667,257.197,205.813,207.756,48.1
2007-09-01,208.547,257.946,206.454,208.805,48.0
2007-10-01,209.190,260.058,206.696,209.275,47.9
2007-11-01,210.834,260.901,207.821,209.854,47.6
2007-12-01,211.445,262.271,207.155,210.233,47.6
2008-01-01,212.174,262.761,208.757,211.070,47.4
2008-02-01,212.687,262.352,209.526,211.878,47.2
2008-03-01,213.448,263.166,211.542,212.537,46.8
2008-04-01,213.942,262.476,212.662,213.083,46.5
2008-05-01,215.208,263.035,214.932,213.967,46.2
2008-06-01,217.463,263.922,215.738,215.015,45.7
2008-07-01,219.016,263.668,217.459,216.376,45.5
2008-08-01,218.690,264.592,215.971,217.063,45.6
2008-09-01,218.877,266.148,215.465,218.225,45.7
2008-10-01,216.995,266.778,213.363,219.290,46.2
2008-11-01,213.153,266.756,209.053,220.043,47.1
2008-12-01,211.398,267.250,205.959,220.684,47.6
2009-01-01,211.933,268.067,207.616,221.319,47.4
2009-02-01,212.705,268.116,207.367,221.968,47.1
2009-03-01,212.495,267.297,207.462,222.216,47.0
2009-04-01,212.709,267.595,207.886,222.905,46.9
2009-05-01,213.022,267.381,209.809,223.023,46.8
2009-06-01,214.790,268.380,211.010,223.163,46.4
2009-07-01,214.726,268.285,210.906,223.345,46.4
2009-08-01,215.445,269.858,211.441,223.675,46.3
2009-09-01,215.861,270.214,211.345,224.003,46.3
2009-10-01,216.509,270.564,211.708,224.224,46.3
2009-11-01,217.234,270.084,212.206,224.633,46.2
2009-12-01,217.347,269.831,211.185,224.789,46.3
2010-01-01,217.488,272.882,212.104,224.916,46.1
2010-02-01,217.281,273.111,212.456,225.081,46.1
2010-03-01,217.353,273.308,212.952,224.991,45.9
2010-04-01,217.403,272.943,212.929,225.276,45.9
2010-05-01,217.290,272.715,212.984,225.573,45.8
2010-06-01,217.199,272.203,212.186,225.797,45.9
2010-07-01,217.605,271.439,212.535,225.710,45.9
2010-08-01,217.923,271.424,212.784,226.422,45.8
2010-09-01,218.275,271.824,213.339,227.075,45.8
2010-10-01,219.035,272.291,213.332,227.287,45.7
2010-11-01,219.590,273.779,213.066,227.512,45.7
2010-12-01,220.472,274.624,213.778,227.722,45.6
2011-01-01,221.187,275.003,215.155,228.181,45.4
2011-02-01,221.898,275.195,216.192,228.606,45.2
2011-03-01,223.046,274.706,217.880,229.282,44.7
2011-04-01,224.093,275.184,218.762,230.082,44.5
2011-05-01,224.806,275.268,220.094,230.501,44.3
2011-06-01,224.806,275.207,220.182,231.097,44.3
2011-07-01,225.395,275.836,219.277,231.580,44.3
2011-08-01,226.106,276.397,219.688,232.513,44.1
2011-09-01,226.597,277.221,220.027,233.032,44.1
2011-10-01,226.750,277.672,219.592,233.459,44.2
2011-11-01,227.169,278.899,219.181,234.046,44.2
2011-12-01,227.223,279.815,218.180,234.435,44.3
2012-01-01,227.842,280.284,219.585,235.268,44.1
2012-02-01,228.329,280.126,219.626,235.603,43.9
2012-03-01,228.807,280.497,222.351,236.073,43.6
2012-04-01,229.187,280.203,222.416,236.695,43.5
2012-05-01,228.713,280.692,222.262,237.262,43.5
2012-06-01,228.524,280.625,222.138,237.839,43.6
2012-07-01,228.590,280.823,221.611,238.337,43.6
2012-08-01,229.918,281.457,222.967,239.057,43.4
2012-09-01,231.015,281.850,223.611,239.565,43.2
